file_name,mode,T,E,threshold_list,counts_list,n_reps,man_no_for_parity,reset,single_photon
00181_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S4,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[1003, 963, 871, 821, 699, 671, 612, 583, 534, 507, 473, 445, 427, 393, 380, 355, 338, 320, 296, 261, 230, 202, 167, 118, 90, 63, 43]",97516,1,True,False
00182_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S5,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[972, 944, 867, 825, 729, 685, 627, 603, 561, 531, 506, 473, 451, 413, 395, 372, 354, 340, 323, 286, 255, 231, 193, 131, 99, 68, 49]",97371,1,True,False
00183_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S6,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[2295, 2253, 2047, 1952, 1690, 1636, 1525, 1489, 1376, 1322, 1243, 1150, 1118, 1025, 1001, 927, 879, 832, 767, 693, 629, 572, 479, 369, 272, 206, 155]",97261,1,True,False
00184_cavity_temperature_sweep_parity_with_without_reset.h5,M1-S7,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[972, 936, 861, 812, 705, 662, 626, 601, 566, 538, 502, 464, 450, 420, 410, 386, 358, 350, 328, 289, 262, 234, 196, 144, 116, 84, 54]",97448,1,True,False
00185_cavity_temperature_sweep_parity_with_without_reset.h5,M1-D1,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[601, 579, 528, 503, 416, 393, 360, 345, 316, 299, 270, 250, 233, 210, 196, 175, 163, 154, 142, 130, 117, 102, 80, 55, 39, 31, 25]",97632,1,True,False
00186_cavity_temperature_sweep_parity_with_without_reset.h5,M1-C,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[3028, 2999, 2746, 2651, 2297, 2270, 2081, 2050, 1898, 1832, 1733, 1602, 1566, 1444, 1411, 1306, 1251, 1181, 1097, 998, 903, 841, 716, 548, 433, 340, 276]",97258,1,True,False
00187_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[766, 732, 662, 628, 532, 509, 473, 451, 420, 393, 362, 335, 316, 289, 279, 254, 241, 231, 209, 185, 158, 141, 119, 91, 63, 37, 26]",97609,1,True,False
00188_cavity_temperature_sweep_parity_with_without_reset.h5,M2-D2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.49901515 0.00098485]
 [0.00832562 0.49167438]
 [0.49901515 0.00098485]
 [0.00832562 0.49167438]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[708, 684, 617, 585, 498, 479, 446, 431, 401, 384, 360, 335, 322, 305, 283, 267, 249, 228, 210, 179, 151, 136, 110, 82, 58, 42, 31]",97644,1,True,False
00189_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.495575 0.004425]
 [0.0119   0.4881  ]
 [0.495575 0.004425]
 [0.0119   0.4881  ]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[70089, 62390, 61848, 54660, 48224, 42854, 42412, 37787, 33892, 33198, 29635, 27711, 26046, 23309, 22813, 20420, 18302, 17799, 16022, 14032, 12229, 9928, 7944, 5320, 3653, 2538, 1759]",89915,1,False,True
00190_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.495575 0.004425]
 [0.0119   0.4881  ]
 [0.495575 0.004425]
 [0.0119   0.4881  ]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[575, 520, 497, 447, 391, 353, 335, 301, 279, 268, 247, 235, 214, 198, 189, 170, 160, 151, 140, 124, 109, 94, 80, 62, 48, 31, 21]",98210,1,False,False
00191_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4982265  0.0017735 ]
 [0.00688415 0.49311585]
 [0.4982265  0.0017735 ]
 [0.00688415 0.49311585]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[65926, 62136, 57585, 54592, 47808, 44244, 39671, 38776, 34562, 33959, 30161, 29592, 26359, 25855, 23059, 21799, 20188, 18240, 17662, 15479, 13439, 11762, 9337, 6501, 4637, 3192, 2185]",88689,1,True,True
00192_cavity_temperature_sweep_parity_with_without_reset.h5,M2,"[[9.88540058e-01 1.14599419e-02 0.00000000e+00 0.00000000e+00]
 [2.07752202e-02 9.79224780e-01 0.00000000e+00 0.00000000e+00]
 [1.64166549e-02 1.90314909e-04 1.12696270e-02 9.72123403e-01]
 [3.45013454e-04 1.62619563e-02 9.62962823e-01 2.04302067e-02]]","[[0.4982265  0.0017735 ]
 [0.00688415 0.49311585]
 [0.4982265  0.0017735 ]
 [0.00688415 0.49311585]]","[100.0, 1000.0, 10000.0, 100000.0, 10000000.0, 100000000.0, 1000000000.0, 10000000000.0, 100000000000.0, 1000000000000.0, 10000000000000.0, 100000000000000.0, 1000000000000000.0, 1e+16, 1e+17, 1e+18, 1e+19, 1e+20, 1e+21, 1e+23, 1e+25, 1e+27, 1e+30, 1e+35, 1e+40, 1e+45, 1e+50]","[755, 716, 675, 647, 580, 534, 495, 470, 437, 415, 389, 374, 347, 329, 311, 296, 284, 263, 245, 225, 198, 182, 152, 116, 90, 59, 44]",96982,1,True,False
